"wbps_gene_id","entrezgene_id"
"WBGene00000040",181324
"WBGene00000041",176121
"WBGene00000063",179535
"WBGene00000064",179534
"WBGene00000065",179533
"WBGene00000066",180767
"WBGene00000067",176793
"WBGene00000100",181148
"WBGene00000105",181504
"WBGene00000114",174800
"WBGene00000121",177738
"WBGene00000122",178157
"WBGene00000123",177190
"WBGene00000140",172034
"WBGene00000149",180783
"WBGene00000165",171691
"WBGene00000170",174467
"WBGene00000181",178016
"WBGene00000182",175801
"WBGene00000183",177595
"WBGene00000198",174140
"WBGene00000206",175605
"WBGene00000207",180718
"WBGene00000209",172673
"WBGene00000210",180956
"WBGene00000214",180251
"WBGene00000215",34700645
"WBGene00000216",180947
"WBGene00000218",179211
"WBGene00000219",179209
"WBGene00000223",175587
"WBGene00000235",176330
"WBGene00000263",175254
"WBGene00000273",176637
"WBGene00000276",175968
"WBGene00000277",181382
"WBGene00000293",174673
"WBGene00000301",177815
"WBGene00000366",176380
"WBGene00000369",176625
"WBGene00000377",174318
"WBGene00000378",174421
"WBGene00000379",174330
"WBGene00000380",175588
"WBGene00000381",175819
"WBGene00000390",174233
"WBGene00000403",174006
"WBGene00000405",176374
"WBGene00000411",174659
"WBGene00000472",174690
"WBGene00000475",176516
"WBGene00000534",178992
"WBGene00000542",176122
"WBGene00000552",178614
"WBGene00000593",177872
"WBGene00000594",177695
"WBGene00000599",179298
"WBGene00000613",174178
"WBGene00000614",179668
"WBGene00000617",173495
"WBGene00000620",179187
"WBGene00000627",189050
"WBGene00000628",189052
"WBGene00000649",184366
"WBGene00000660",188672
"WBGene00000673",176724
"WBGene00000677",176901
"WBGene00000682",176985
"WBGene00000691",177694
"WBGene00000699",178029
"WBGene00000717",179296
"WBGene00000731",179619
"WBGene00000739",180902
"WBGene00000740",180907
"WBGene00000741",180908
"WBGene00000742",180909
"WBGene00000756",184081
"WBGene00000779",171986
"WBGene00000781",179637
"WBGene00000784",179053
"WBGene00000785",178612
"WBGene00000802",178997
