"wbps_gene_id","entrezgene_id"
"WBGene00000063",179535
"WBGene00000067",176793
"WBGene00000123",177190
"WBGene00000140",172034
"WBGene00000182",175801
"WBGene00000183",177595
"WBGene00000207",180718
"WBGene00000209",172673
"WBGene00000210",180956
"WBGene00000214",180251
"WBGene00000215",34700645
"WBGene00000216",180947
"WBGene00000218",179211
"WBGene00000219",179209
"WBGene00000263",175254
"WBGene00000273",176637
"WBGene00000377",174318
"WBGene00000378",174421
"WBGene00000379",174330
"WBGene00000380",175588
"WBGene00000472",174690
"WBGene00000475",176516
"WBGene00000534",178992
"WBGene00000552",178614
"WBGene00000594",177695
"WBGene00000599",179298
"WBGene00000613",174178
"WBGene00000617",173495
"WBGene00000620",179187
"WBGene00000628",189052
"WBGene00000660",188672
"WBGene00000680",176955
"WBGene00000691",177694
"WBGene00000717",179296
"WBGene00000739",180902
"WBGene00000740",180907
"WBGene00000751",181307
"WBGene00000752",181308
"WBGene00000756",184081
"WBGene00000757",181470
"WBGene00000779",171986
"WBGene00000802",178997
"WBGene00000833",176437
"WBGene00000868",180040
"WBGene00000879",180028
"WBGene00000881",173374
"WBGene00000896",172370
"WBGene00000915",179971
"WBGene00000962",172041
"WBGene00001005",175922
"WBGene00001038",174514
"WBGene00001075",172410
"WBGene00001076",175696
"WBGene00001088",179671
"WBGene00001137",179796
"WBGene00001167",172743
"WBGene00001168",175975
"WBGene00001169",181044
"WBGene00001173",176991
"WBGene00001209",176094
"WBGene00001225",175138
"WBGene00001333",172174
"WBGene00001385",176283
"WBGene00001393",178291
"WBGene00001394",178293
"WBGene00001423",179999
"WBGene00001427",173160
"WBGene00001488",173360
"WBGene00001501",171934
"WBGene00001502",181348
"WBGene00001503",176059
"WBGene00001558",178402
"WBGene00001581",179022
"WBGene00001604",178452
"WBGene00001679",174803
"WBGene00001684",3565504
"WBGene00001685",180601
"WBGene00001694",179244
"WBGene00001732",183983
"WBGene00001748",3564807
"WBGene00001749",176281
"WBGene00001755",173842
"WBGene00001840",174333
"WBGene00001875",191667
"WBGene00001879",179233
"WBGene00001891",191673
"WBGene00001911",179341
"WBGene00001920",178050
"WBGene00001929",186250
"WBGene00001930",178055
"WBGene00001931",178056
"WBGene00001934",177522
"WBGene00001938",178066
"WBGene00001939",186671
"WBGene00001940",186670
"WBGene00001941",188792
"WBGene00001946",176660
"WBGene00001971",175081
"WBGene00002007",180880
"WBGene00002008",174203
"WBGene00002010",178873
"WBGene00002025",175316
"WBGene00002045",174090
"WBGene00002053",173976
"WBGene00002054",173973
"WBGene00002064",176373
"WBGene00002065",174367
"WBGene00002066",174322
"WBGene00002074",177533
"WBGene00002077",3565440
"WBGene00002078",179160
"WBGene00002083",175966
"WBGene00002191",172978
"WBGene00002202",175524
"WBGene00002263",3564838
"WBGene00002264",174964
"WBGene00002269",175212
"WBGene00002344",178006
"WBGene00002363",178117
"WBGene00002717",3565337
"WBGene00002845",175971
"WBGene00002915",175384
"WBGene00002981",177989
"WBGene00003052",172687
"WBGene00003053",180912
"WBGene00003063",176072
"WBGene00003065",179477
"WBGene00003090",179428
"WBGene00003123",173073
"WBGene00003150",178250
"WBGene00003153",177089
"WBGene00003162",175936
"WBGene00003214",175915
"WBGene00003372",175440
"WBGene00003473",179060
"WBGene00003514",181404
"WBGene00003771",179545
"WBGene00003795",175443
"WBGene00003901",175750
"WBGene00003902",172920
"WBGene00003920",178113
"WBGene00003947",176978
"WBGene00003955",177161
"WBGene00003962",175472
"WBGene00003963",180724
"WBGene00003964",172433
"WBGene00004046",177540
"WBGene00004076",173500
"WBGene00004078",179224
"WBGene00004167",174861
"WBGene00004187",176153
"WBGene00004208",174274
"WBGene00004266",178620
"WBGene00004274",171601
"WBGene00004300",174687
"WBGene00004302",176503
"WBGene00004320",179358
"WBGene00004336",179981
"WBGene00004392",175525
"WBGene00004408",172943
"WBGene00004409",171766
"WBGene00004410",178297
"WBGene00004412",171853
"WBGene00004413",180343
"WBGene00004414",175501
"WBGene00004415",172074
"WBGene00004416",174371
"WBGene00004417",176015
"WBGene00004418",171602
"WBGene00004419",177203
"WBGene00004420",176071
"WBGene00004421",174311
"WBGene00004422",178778
"WBGene00004423",180535
"WBGene00004424",178279
"WBGene00004425",171949
"WBGene00004426",172818
"WBGene00004427",176891
"WBGene00004428",175455
"WBGene00004429",171692
"WBGene00004430",178342
"WBGene00004431",172201
"WBGene00004432",24104384
"WBGene00004433",176146
"WBGene00004434",173873
"WBGene00004435",175796
"WBGene00004436",172062
"WBGene00004438",180748
"WBGene00004439",172617
"WBGene00004440",174379
"WBGene00004441",171750
"WBGene00004442",179739
"WBGene00004443",178352
"WBGene00004444",172921
"WBGene00004445",173235
"WBGene00004446",174443
"WBGene00004447",174166
"WBGene00004448",178173
"WBGene00004449",176097
"WBGene00004450",176007
"WBGene00004452",180044
"WBGene00004453",179153
"WBGene00004454",174695
"WBGene00004456",175070
"WBGene00004469",175628
"WBGene00004470",175584
"WBGene00004471",177583
"WBGene00004472",175879
"WBGene00004473",177481
